tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9796	Equus caballus	100062044	0	live	TP53	p53	tumor protein p53	cellular tumor antigen p53|tumor suppressor p53		11	NC_009154.3	50952714	50966318	minus	11		
9544	Macaca mulatta	716170	0	live	TP53	EGK_08142	tumor protein p53	cellular tumor antigen p53|P53|tumor suppressor p53		16	NC_041769.1	7447315	7466507	minus	12		
8364	Xenopus tropicalis	431679	0	live	tp53	Trp248, Xp53, Xrel3, lfs1, p53, trp53	tumor protein p53	cellular tumor antigen p53|Li-Fraumeni syndrome|tumor suppressor p53		3	NC_030679.2	153630948	153641542	plus	11		
10029	Cricetulus griseus	100682525	0	live	Tp53	I79_002739, P53	tumor protein p53	cellular tumor antigen p53|Tumor suppressor p53|p53 tumor suppressor		7	NW_003613643.1	1638391	1643801	plus	9		
9785	Loxodonta africana	100663725	0	live	TP53		tumor protein p53	cellular tumor antigen p53		Un	NW_003573467.1	11687413	11699835	minus	12		
9598	Pan troglodytes	455214	0	live	TP53	CK820_G0036775	tumor protein p53	cellular tumor antigen p53|tumor protein p53 (Li-Fraumeni syndrome)		17	NC_072415.1	16419856	16438203	minus	10		
61221	Varanus komodoensis	123016682	0	live	TP53	EYD10_16491, tp53_0, tp53_1	tumor protein p53	cellular tumor antigen p53|Cellular tumor antigen p53		Un	NW_025336565.1	893578	907101	minus	11		
119488	Siniperca chuatsi	122870059	0	live	tp53	p53	tumor protein p53	cellular tumor antigen p53|tumor suppressor protein p53		LG22	NC_058063.1	12890105	12896242	plus	10		
61853	Nomascus leucogenys	100583326	0	live	TP53		tumor protein p53	cellular tumor antigen p53		19	NC_044399.1	70113079	70132032	plus	11		
9601	Pongo abelii	100435218	0	live	TP53	CR201_G0048058	tumor protein p53	cellular tumor antigen p53		17	NC_072002.1	7521992	7541089	minus	11		
300417	Syngnathoides biaculeatus	133494790	0	live	tp53		tumor protein p53	cellular tumor antigen p53		21	NC_084660.1	3224929	3229043	plus	11		
129043	Cololabis saira	133420070	0	live	tp53		tumor protein p53	cellular tumor antigen p53		20	NC_084606.1	33728920	33740587	plus	11		
161469	Phyllopteryx taeniolatus	133472385	0	live	tp53		tumor protein p53	cellular tumor antigen p53		23	NC_084524.1	1922288	1928672	minus	12		
693459	Phycodurus eques	133397665	0	live	tp53		tumor protein p53	cellular tumor antigen p53		23	NC_084547.1	5303709	5308939	plus	11		
9940	Ovis aries	443421	0	live	TP53	P53	tumor protein p53	cellular tumor antigen p53|tumor suppressor p53		11	NC_056064.1	27189833	27207274	minus	12		
10141	Cavia porcellus	100379269	0	live	Tp53	p53	tumor protein p53	cellular tumor antigen p53|tumor suppressor p53		Un	NT_176358.1	8980178	8993770	plus	11		
8022	Oncorhynchus mykiss	100136737	0	live	tp53	p53	tumor protein p53	cellular tumor antigen p53|tumor suppressing protein|tumor suppressor p53|tumor supressor p53		10	NC_048574.1	50387948	50399688	minus	11		
52904	Scophthalmus maximus	118320602	0	live	tp53	p53	tumor protein p53	cellular tumor antigen p53|tumor supressor protein p53		12	NC_061526.1	4284003	4290686	plus	13		
60711	Chlorocebus sabaeus	103242323	0	live	TP53		tumor protein p53	cellular tumor antigen p53		Un	NW_023666059.1	14343255	14361299	plus	12		
246437	Tupaia chinensis	102503238	0	live	TP53	TREES_T100004110, p53	tumor protein p53	cellular tumor antigen p53|p53 tumor suppressor protein		Un	NW_006159824.1	859691	866641	plus	8		
9541	Macaca fascicularis	102135998	0	live	TP53	p53	tumor protein p53	cellular tumor antigen p53|Cellular tumor antigen p53|Tumor suppressor p53		16	NC_052270.1	69909312	69928293	plus	11		
10036	Mesocricetus auratus	101833915	0	live	Tp53	p53	tumor protein p53	cellular tumor antigen p53|Tumor suppressor p53|p53 tumor suppressor|tumor suppressing protein|tumor supressor protein		Un	NW_024429191.1	48447627	48459485	plus	11		
7998	Ictalurus punctatus	100304476	0	live	tp53	p53	tumor protein p53	cellular tumor antigen p53|Tumor suppressor p53|tumor supressor p53		28	NC_030443.2	19974580	19983767	plus	11		
10089	Mus caroli	110305297	0	live	Tp53		tumor protein p53	cellular tumor antigen p53		11	NC_034580.1	64316392	64328034	plus	11		
9995	Marmota monax	124077664	0	live	Tp53	K8944_020010486sp01, p53	tumor protein p53	cellular tumor antigen p53|Cellular tumor antigen p53|Tumor suppressor p53|tumor suppressor		Un	NW_026694604.1	2166939	2183076	plus	11		
8078	Fundulus heteroclitus	105934647	0	live	tp53	p53	tumor protein p53	cellular tumor antigen p53|tumor suppressor protein p53		14	NC_046374.1	17255431	17271655	minus	13		
89462	Bubalus bubalis	102402069	0	live	TP53	p53	tumor protein p53	cellular tumor antigen p53		3	NC_059159.1	35718000	35730534	plus	12		
10093	Mus pahari	110331731	0	live	Tp53		tumor protein p53	cellular tumor antigen p53		14	NC_034603.1	37422762	37434212	plus	14		
8084	Xiphophorus hellerii	116732253	0	live	tp53	p53	tumor protein p53	cellular tumor antigen p53|Cellular tumor antigen p53|Tumor suppressor p53		14	NC_045685.1	13730547	13737219	minus	12		
64144	Anabas testudineus	113157642	0	live	tp53		tumor protein p53	cellular tumor antigen p53|tumor suppressor protein p53		18	NC_046627.1	17494319	17500843	plus	11		
9749	Delphinapterus leucas	111185755	0	live	TP53	P53	tumor protein p53	cellular tumor antigen p53|Cellular tumor antigen p53|Tumor suppressor p53		Un	NW_022098035.1	10999764	11012215	minus	11		
8083	Xiphophorus maculatus	102219062	0	live	tp53	p53	tumor protein p53	cellular tumor antigen p53|Tumor suppressor p53|tumor suppressor ortholog		14	NC_036456.1	12915565	12922324	minus	12		
9925	Capra hircus	102169621	0	live	TP53	p53	tumor protein p53	cellular tumor antigen p53		19	NC_030826.1	27114196	27127180	minus	12		
8019	Oncorhynchus kisutch	109873031	0	live	tp53	p53	tumor protein p53	cellular tumor antigen p53|tumor suppressor protein p53		LG28	NC_034201.2	2203934	2218505	minus	12		
105023	Nothobranchius furzeri	107377392	0	live	tp53		tumor protein p53	cellular tumor antigen p53		Un	NW_026539925.1	34231850	34252593	minus	11		
8018	Oncorhynchus keta	118390576	0	live	tp53	p53	tumor protein p53	cellular tumor antigen p53|tumor suppressor protein p53		11	NC_068431.1	52355003	52366156	minus	11		
8167	Perca flavescens	114545465	0	live	tp53	EPR50_G00197220	tumor protein p53	cellular tumor antigen p53-like|tumor suppressor p53		19	NC_041349.1	19238245	19246636	minus	11		
74940	Oncorhynchus tshawytscha	112229014	0	live	tp53	p53	tumor protein p53	cellular tumor antigen p53|tumor suppressor protein 53|tumor suppressor protein p53|tumor supressor p53		LG30	NC_056458.1	2051934	2065030	minus	11		
8187	Lates calcarifer	108879980	0	live	tp53		tumor protein p53	cellular tumor antigen p53		LG14	NC_066846.1	8174723	8181411	plus	12		
75352	Megalobrama amblycephala	125266618	0	live	tp53		tumor protein p53	cellular tumor antigen p53|tumor antigen p53		LG4	NC_063047.1	10852657	10861576	plus	12		
10181	Heterocephalus glaber	101701769	0	live	Tp53	GW7_13838	tumor protein p53	cellular tumor antigen p53		Un	NW_004624786.1	10266316	10282664	minus	11		
9669	Mustela putorius furo	101677794	0	live	TP53		tumor protein p53	cellular tumor antigen p53		Un	NW_025421447.1	7067473	7081670	minus	13		
9915	Bos indicus	109574238	0	live	TP53	p53	tumor protein p53	cellular tumor antigen p53|53 kDa phosphoprotein|Cellular tumor antigen p53|Tumor suppressor p53		19	NC_032668.1	27879659	27892060	minus	11		
51338	Castor canadensis	109674834	0	live	Tp53		tumor protein p53	cellular tumor antigen p53		Un	NW_017869770.1	719893	732804	minus	12		
8030	Salmo salar	106602901	0	live	tp53	P53	tumor protein p53	cellular tumor antigen p53|tumor protein p53|Cellular tumor antigen p53		ssa04	NC_059445.1	36328605	36345685	plus	12		
419612	Camelus ferus	102524476	0	live	TP53	CB1_000230034	tumor protein p53	cellular tumor antigen p53		16	NC_045711.1	12076547	12088505	minus	11		
90069	Solea solea	131456004	0	live	tp53		tumor protein p53	cellular tumor antigen p53		3	NC_081136.1	13706377	13711077	minus	10		
229290	Anoplopoma fimbria	129093061	0	live	tp53		tumor protein p53	cellular tumor antigen p53		7	NC_072455.1	19536079	19542034	plus	11		
8236	Thunnus albacares	122973361	0	live	tp53		tumor protein p53	cellular tumor antigen p53		22	NC_058127.1	14516482	14522144	minus	11		
1026970	Nannospalax galili	103752115	0	live	Tp53	p53	tumor protein p53	cellular tumor antigen p53|tumor suppressor p53		Un	NW_008357929.1	8370167	8386275	plus	11		
72004	Bos mutus	102272370	0	live	TP53	M91_20387	tumor protein p53	cellular tumor antigen p53|Cellular tumor antigen p53		Un	NW_005393612.1	92557	105015	minus	11		
34816	Morone saxatilis	118338148	0	live	tp53		tumor protein p53	cellular tumor antigen p53		Un	NW_023339984.1	9970482	9977053	plus	11		
1415580	Microcaecilia unicolor	115457986	0	live	TP53		tumor protein p53	cellular tumor antigen p53		14	NC_044044.1	17882995	17908479	plus	12		
30732	Oryzias melastigma	112156259	0	live	tp53		tumor protein p53	cellular tumor antigen p53|tumor suppressor p53		LG18	NC_050529.1	14019052	14024180	plus	11		
9483	Callithrix jacchus	100415710	0	live	TP53		tumor protein p53	cellular tumor antigen p53		5	NC_071446.1	70311837	70330715	minus	12		
8038	Salvelinus fontinalis	129868701	0	live	tp53		tumor protein p53	cellular tumor antigen p53		13	NC_074677.1	41412919	41426041	minus	12		
278164	Alosa alosa	125284883	0	live	tp53	AALO_G00028530	tumor protein p53	cellular tumor antigen p53		2	NC_063190.1	21165429	21171651	plus	13		
8049	Gadus morhua	115529448	0	live	tp53		tumor protein p53	cellular tumor antigen p53		17	NC_044064.1	4801867	4808686	plus	11		
7994	Astyanax mexicanus	103046742	0	live	tp53		tumor protein p53	cellular tumor antigen p53		1	NC_064408.1	548600	578291	minus	14		
9906	Bos javanicus	133231389	0	live	TP53		tumor protein p53	cellular tumor antigen p53		19	NC_083886.1	28827223	28839645	minus	11		
82655	Conger conger	133132365	0	live	tp53		tumor protein p53	cellular tumor antigen p53		7	NC_083766.1	29311192	29325986	plus	13		
27606	Eubalaena glacialis	133080966	0	live	TP53		tumor protein p53	cellular tumor antigen p53		19	NC_083734.1	9977635	9990425	plus	11		
30532	Dama dama	133057188	0	live	TP53		tumor protein p53	cellular tumor antigen p53		5	NC_083685.1	97319152	97331927	minus	11		
27771	Limanda limanda	132996065	0	live	tp53		tumor protein p53	cellular tumor antigen p53		22	NC_083657.1	7668906	7684030	minus	23		
508554	Labrus mixtus	132958779	0	live	tp53		tumor protein p53	cellular tumor antigen p53		23	NC_083634.1	9513433	9519031	minus	11		
443677	Neoarius graeffei	132875662	0	live	tp53		tumor protein p53	cellular tumor antigen p53		28	NC_083596.1	454435	488869	minus	13		
175792	Tachysurus vachellii	132840785	0	live	tp53		tumor protein p53	cellular tumor antigen p53		26	NC_083485.1	16850218	16861943	plus	12		
9690	Panthera onca	132688368	0	live	TP53		tumor protein p53	cellular tumor antigen p53		8	NC_083302.1	52940200	52944423	plus	10		
13085	Heteronotia binoei	132583958	0	live	TP53		tumor protein p53	cellular tumor antigen p53		15	NC_083237.1	3057138	3082004	plus	9		
27610	Lagenorhynchus albirostris	132510669	0	live	TP53		tumor protein p53	cellular tumor antigen p53		20	NC_083114.1	8986747	8999284	plus	12		
48708	Mesoplodon densirostris	132478214	0	live	TP53		tumor protein p53	cellular tumor antigen p53		18	NC_082678.1	43749028	43761754	plus	11		
80720	Gadus macrocephalus	132475586	0	live	tp53		tumor protein p53	cellular tumor antigen p53		17	NC_082398.1	3911583	3918012	plus	11		
9728	Delphinus delphis	132415287	0	live	TP53		tumor protein p53	cellular tumor antigen p53		19	NC_082701.1	50932207	50944583	minus	11		
79690	Hypanus sabinus	132397028	0	live	tp53		tumor protein p53	cellular tumor antigen p53		7	NC_082712.1	97879908	97911270	plus	11		
2746895	Balaenoptera ricei	132356233	0	live	TP53		tumor protein p53	cellular tumor antigen p53		20	NC_082658.1	55355302	55368211	minus	11		
30427	Haemorhous mexicanus	132322990	0	live	TP53		tumor protein p53	cellular tumor antigen p53		Un	NW_026776062.1	587	12435	plus	7		
98922	Myotis daubentonii	132218058	0	live	TP53		tumor protein p53	cellular tumor antigen p53		16	NC_081855.1	17232778	17246772	plus	12		
217509	Carassius carassius	132141471	0	live	tp53		tumor protein p53	cellular tumor antigen p53		5	NC_081759.1	36094228	36103788	minus	12		
77151	Mustela nigripes	132003790	0	live	TP53		tumor protein p53	cellular tumor antigen p53		16	NC_081572.1	57840811	57860124	plus	14		
184440	Centropristis striata	131989597	0	live	tp53		tumor protein p53	cellular tumor antigen p53		17	NC_081533.1	17840361	17849822	minus	11		
42410	Peromyscus eremicus	131917260	0	live	Tp53		tumor protein p53	cellular tumor antigen p53		8a	NC_081423.1	52729783	52742206	plus	11		
9666	Mustela lutreola	131815809	0	live	TP53		tumor protein p53	cellular tumor antigen p53		15	NC_081304.1	58792621	58807566	plus	13		
27615	Kogia breviceps	131747053	0	live	TP53		tumor protein p53	cellular tumor antigen p53		19	NC_081328.1	8367349	8381223	plus	11		
48891	Poecile atricapillus	131574160	0	live	TP53		tumor protein p53	cellular tumor antigen p53		36	NW_026708999.1	22621	43898	plus	15		
2857398	Ammospiza caudacuta	131570597	0	live	TP53		tumor protein p53	cellular tumor antigen p53		36	NC_080628.1	740811	756822	minus	11		
369639	Onychostoma macrolepis	131541252	0	live	tp53	G5714_005987	tumor protein p53	cellular tumor antigen p53		05	NC_081159.1	23883479	23893240	minus	12		
61452	Neofelis nebulosa	131496929	0	live	TP53		tumor protein p53	cellular tumor antigen p53		16	NC_080797.1	2558103	2570337	minus	11		
77932	Diceros bicornis minor	131416956	0	live	TP53		tumor protein p53	cellular tumor antigen p53		18	NC_080757.1	10682790	10695167	plus	11		
337641	Hemibagrus wyckioides	131348500	0	live	tp53	KOW79_022288	tumor protein p53	cellular tumor antigen p53		LG28	NC_080737.1	20733755	20756287	minus	7		
499056	Ahaetulla prasina	131197474	0	live	TP53		tumor protein p53	cellular tumor antigen p53		4	NC_080542.1	2049204	2069512	plus	10		
161450	Doryrhamphus excisus	131126038	0	live	tp53		tumor protein p53	cellular tumor antigen p53		3	NC_080468.1	28295433	28301951	plus	10		
161448	Corythoichthys intestinalis	130907421	0	live	tp53		tumor protein p53	cellular tumor antigen p53		19	NC_080413.1	28984885	28996705	minus	11		
269649	Chionomys nivalis	130878343	0	live	Tp53		tumor protein p53	cellular tumor antigen p53|tumor supressor p53		7	NC_080092.1	51088957	51101101	plus	11		
575201	Hippopotamus amphibius kiboko	130840489	0	live	TP53		tumor protein p53	cellular tumor antigen p53		17	NC_080202.1	8653684	8666200	plus	12		
992332	Triplophysa rosa	130546879	0	live	tp53	IRJ41_023293	tumor protein p53	cellular tumor antigen p53|Cellular tumor antigen p53		LG2	NC_079891.1	27165074	27173683	minus	12		
433684	Takifugu flavidus	130522133	0	live	tp53	D4764_03G0000900	tumor protein p53	cellular tumor antigen p53|Cellular tumor antigen p53		3	NC_079522.1	1316054	1319920	minus	13		
460621	Euleptes europaea	130489827	0	live	TP53		tumor protein p53	cellular tumor antigen p53		18	NC_079329.1	1884658	1898070	plus	10		
1582913	Triplophysa dalaica	130419306	0	live	tp53		tumor protein p53	cellular tumor antigen p53		4	NC_079545.1	16481029	16489488	plus	12		
1042646	Gadus chalcogrammus	130370128	0	live	tp53		tumor protein p53	cellular tumor antigen p53		17	NC_079428.1	3815047	3821943	plus	11		
1142201	Danio aesculapii	130229093	0	live	tp53		tumor protein p53	cellular tumor antigen p53		5	NC_079439.1	25427685	25438591	plus	12		
2059687	Pseudoliparis swirei	130211870	0	live	tp53		tumor protein p53	cellular tumor antigen p53		21	NC_079408.1	11814042	11819825	plus	12		
2871759	Seriola aureovittata	130164727	0	live	tp53		tumor protein p53	cellular tumor antigen p53		23	NC_079386.1	10827758	10835101	plus	11		
2546036	Lampris incognitus	130130375	0	live	tp53		tumor protein p53	cellular tumor antigen p53		20	NC_079230.1	23951596	23961783	plus	12		
3034132	Rhinichthys klamathensis goyatoka	130071217	0	live	tp53		tumor protein p53	cellular tumor antigen p53		Un	NW_026606929.1	170710	191210	minus	13		
62283	Sorex fumeus	130024222	0	live	TP53		tumor protein p53	cellular tumor antigen p53		Un	NW_026606085.1	4623384	4640090	minus	11		
48139	Psammomys obesus	129667012	0	live	Tp53		tumor protein p53	cellular tumor antigen p53		Un	NW_026596152.1	1224185	1235567	minus	12		
346063	Bubalus carabanensis	129649330	0	live	TP53		tumor protein p53	cellular tumor antigen p53		4	NC_073627.1	36881944	36895047	plus	14		
68408	Moschus berezovskii	129543141	0	live	TP53		tumor protein p53	cellular tumor antigen p53		Un	NW_026572039.1	24399560	24411794	minus	11		
34880	Nyctereutes procyonoides	129497070	0	live	TP53	NYPRO_LOCUS22539	tumor protein p53	cellular tumor antigen p53		Un	NW_026575140.1	57032722	57046669	plus	12		
9590	Symphalangus syndactylus	129469721	0	live	TP53		tumor protein p53	cellular tumor antigen p53		20	NC_072442.1	66782007	66801651	plus	12		
75329	Misgurnus anguillicaudatus	129439993	0	live	tp53		tumor protein p53	cellular tumor antigen p53		4	NC_073340.1	16576073	16587536	plus	13		
188132	Poeciliopsis prolifica	129354903	0	live	tp53	P53	tumor protein p53	cellular tumor antigen p53		Un	NW_026562495.1	443285	448848	plus	11		
481883	Eublepharis macularius	129340394	0	live	TP53		tumor protein p53	cellular tumor antigen p53		12	NC_072801.1	78940296	78953416	minus	11		
9117	Grus americana	129200511	0	live	TP53		tumor protein p53	cellular tumor antigen p53		Un	NW_026561534.1	13535	24948	plus	11		
161453	Dunckerocampus dactyliophorus	129168331	0	live	tp53		tumor protein p53	cellular tumor antigen p53		15	NC_072833.1	22332854	22342499	minus	10		
39638	Agelaius phoeniceus	129134044	0	live	TP53		tumor protein p53	cellular tumor antigen p53		Un	NW_026531044.1	202527	215729	minus	11		
1884717	Pteronotus parnellii mesoamericanus	129072290	0	live	TP53		tumor protein p53	cellular tumor antigen p53		Un	NW_026555133.1	795012	805926	plus	11		
9600	Pongo pygmaeus	129017148	0	live	TP53		tumor protein p53	cellular tumor antigen p53		17	NC_072390.1	7513633	7532709	minus	11		
55661	Cuculus canorus	128849997	0	live	TP53		tumor protein p53	cellular tumor antigen p53		36	NC_071436.1	1012047	1020517	minus	10		
2991368	Malaclemys terrapin pileata	128823288	0	live	TP53		tumor protein p53	cellular tumor antigen p53		15	NC_071519.1	3092337	3120696	plus	12		
8345	Bombina bombina	128663890	0	live	TP53		tumor protein p53	cellular tumor antigen p53		6	NC_069504.1	891116469	891133832	plus	12		
66913	Ictalurus furcatus	128609972	0	live	tp53		tumor protein p53	cellular tumor antigen p53		7	NC_071261.1	16315526	16322885	plus	11		
9470	Nycticebus coucang	128570606	0	live	TP53		tumor protein p53	cellular tumor antigen p53		18	NC_069797.1	21469000	21494520	plus	11		
13013	Clarias gariepinus	128512170	0	live	tp53		tumor protein p53	cellular tumor antigen p53		24	NC_071123.1	908956	926979	plus	15		
233779	Spea bombifrons	128491950	0	live	TP53		tumor protein p53	cellular tumor antigen p53		4	NC_071090.1	112940025	112948487	minus	11		
8262	Pleuronectes platessa	128429801	0	live	tp53		tumor protein p53	cellular tumor antigen p53		23	NC_070648.1	5491018	5497051	minus	11		
65483	Podarcis raffonei	128399324	0	live	TP53		tumor protein p53	cellular tumor antigen p53		13	NC_070614.1	52028556	52059322	minus	11		
13676	Scomber japonicus	128383873	0	live	tp53		tumor protein p53	cellular tumor antigen p53		22	NC_070599.1	14284622	14291183	plus	11		
564181	Peromyscus californicus insignis	128121732	0	live	Tp53		tumor protein p53	LOW QUALITY PROTEIN: cellular tumor antigen p53		Un	NW_026294551.1	53246041	53258580	minus	12		
37181	Budorcas taxicolor	128064672	0	live	TP53		tumor protein p53	cellular tumor antigen p53		19	NC_068928.1	27197625	27210580	minus	11		
101364	Carassius gibelio	127957502	0	live	tp53		tumor protein p53	cellular tumor antigen p53		B5	NC_068400.1	38285506	38292779	minus	12		
10129	Apodemus sylvaticus	127694234	0	live	Tp53		tumor protein p53	cellular tumor antigen p53		10	NC_067481.1	54877418	54889685	minus	14		
38775	Antechinus flavipes	127560870	0	live	TP53		tumor protein p53	cellular tumor antigen p53		4	NC_067401.1	185251998	185269108	plus	11		
7959	Ctenopharyngodon idella	127512451	0	live	tp53		tumor protein p53	cellular tumor antigen p53|p53 transcription factor|tumor antigen p53		5	NC_067224.1	26189834	26198483	plus	13		
13489	Dicentrarchus labrax	127379461	0	live	tp53		tumor protein p53	cellular tumor antigen p53		Un	NW_026136717.1	11936068	11942931	plus	11		
109678	Phodopus roborovskii	127219059	0	live	Tp53	PHOROB_LOCUS4234	tumor protein p53	cellular tumor antigen p53		Un	NW_026126407.1	11894437	11905724	minus	11		
60746	Acomys russatus	127208089	0	live	Tp53		tumor protein p53	cellular tumor antigen p53		25	NC_067161.1	50062704	50068157	plus	10		
84645	Labeo rohita	127165300	0	live	tp53	H4Q32_003087	tumor protein p53	cellular tumor antigen p53|Cellular tumor antigen p53		5	NC_066873.1	32330098	32339644	minus	12		
286002	Gopherus flavomarginatus	127039694	0	live	TP53		tumor protein p53	cellular tumor antigen p53		23	NC_066639.1	15516116	15532638	minus	11		
257877	Macaca thibetana thibetana	126939707	0	live	TP53		tumor protein p53	cellular tumor antigen p53		16	NC_065593.1	13685582	13704427	plus	13		
478635	Myiozetetes cayanensis	126648208	0	live	TP53		tumor protein p53	LOW QUALITY PROTEIN: cellular tumor antigen p53		Un	NW_026087692.1	2755	19759	plus	8		
100897	Microtus fortis	126513928	0	live	Tp53	p53	tumor protein p53	cellular tumor antigen p53|tumor supressor p53		Un	NW_026068017.1	4354211	4366163	minus	11		
300413	Epinephelus moara	126403984	0	live	tp53		tumor protein p53	cellular tumor antigen p53		17	NC_065522.1	18310742	18318217	minus	11		
99487	Elephas maximus indicus	126061913	0	live	TP53		tumor protein p53	cellular tumor antigen p53		19	NC_064837.1	13116713	13128771	plus	12		
8957	Accipiter gentilis	126034674	0	live	TP53		tumor protein p53	cellular tumor antigen p53		35	NC_064914.1	9916706	9923502	plus	10		
109475	Suncus etruscus	125998025	0	live	TP53		tumor protein p53	LOW QUALITY PROTEIN: cellular tumor antigen p53		20	NC_064867.1	43669263	43701874	plus	10		
161590	Syngnathus scovelli	125990249	0	live	tp53		tumor protein p53	cellular tumor antigen p53		Un	NW_026061296.1	7852230	7857934	minus	11		
29064	Panthera uncia	125927023	0	live	TP53		tumor protein p53	LOW QUALITY PROTEIN: cellular tumor antigen p53		E1	NC_064814.1	56177879	56189812	plus	11		
293821	Epinephelus fuscoguttatus	125883865	0	live	tp53		tumor protein p53	cellular tumor antigen p53		LG23	NC_064774.1	19858554	19865239	minus	11		
42636	Brienomyrus brachyistius	125724917	0	live	tp53		tumor protein p53	cellular tumor antigen p53		Un	NW_026042333.1	374016	385540	minus	14		
8467	Caretta caretta	125628652	0	live	TP53		tumor protein p53	cellular tumor antigen p53		28	NC_064500.1	1906279	1920651	plus	11		
447135	Myodes glareolus	125409414	0	live	Tp53		tumor protein p53	cellular tumor antigen p53		Un	NW_025965258.1	9962896	9975672	plus	11		
214514	Perognathus longimembris pacificus	125365886	0	live	Tp53		tumor protein p53	cellular tumor antigen p53		17	NC_063177.1	6778872	6790625	plus	11		
61388	Prionailurus viverrinus	125151405	0	live	TP53		tumor protein p53	cellular tumor antigen p53		E1	NC_062574.1	2548933	2561176	minus	11		
41426	Phacochoerus africanus	125113965	0	live	TP53		tumor protein p53	cellular tumor antigen p53		14	NC_062557.1	52356829	52370947	minus	12		
9657	Lutra lutra	125087037	0	live	TP53		tumor protein p53	cellular tumor antigen p53		16	NC_062293.1	58847605	58860693	plus	12		
30640	Sciurus carolinensis	124980281	0	live	Tp53		tumor protein p53	cellular tumor antigen p53		3	NC_062215.1	52062622	52075598	plus	11		
208333	Girardinichthys multiradiatus	124880555	0	live	tp53		tumor protein p53	cellular tumor antigen p53		14	NC_061807.1	26806183	26816012	plus	11		
61384	Lynx rufus	124519563	0	live	TP53		tumor protein p53	cellular tumor antigen p53		Un	NW_025814843.1	10426370	10438331	plus	11		
137520	Hypomesus transpacificus	124467794	0	live	tp53		tumor protein p53	cellular tumor antigen p53		5	NC_061064.1	2584720	2590433	plus	12		
175797	Silurus meridionalis	124379345	0	live	tp53		tumor protein p53	cellular tumor antigen p53		25	NC_060908.1	126035	132369	minus	12		
75038	Scatophagus argus	124054256	0	live	tp53		tumor protein p53	cellular tumor antigen p53		23	NC_058515.1	9503932	9510274	plus	13		
8017	Oncorhynchus gorbuscha	124005493	0	live	tp53		tumor protein p53	cellular tumor antigen p53		LG02	NC_060174.1	59502806	59516208	plus	12		
147949	Micropterus dolomieu	123980156	0	live	tp53		tumor protein p53	cellular tumor antigen p53		LG12	NC_060161.1	19667848	19675460	plus	12		
9662	Meles meles	123929470	0	live	TP53		tumor protein p53	cellular tumor antigen p53		18	NC_060083.1	9380705	9394871	plus	11		
9716	Mirounga angustirostris	123854560	0	live	TP53		tumor protein p53	cellular tumor antigen p53		9	NC_072364.1	52619234	52631964	plus	11		
9423	Phyllostomus hastatus	123809443	0	live	TP53		tumor protein p53	cellular tumor antigen p53		Un	NW_025334035.1	3976048	3986877	minus	11		
